id,user_id,document_name,description,pdf_name,pdf_path,status,latitude,longitude,created_at,updated_at,color_id,color_status,is_fake,state,county,attachment_permission
53,1379,Mail in Ballot Issues,They keep mailing the previous owners ballots to my address.  This happened in the 2020 election and I called the El Paso County Clerk’s office to complain and tell them not to mail other peoples ballots to me and they wouldn’t do anything to correct it.,.png,/pdf/.png,1,NULL,NULL,7/3/2022 19:10,8/30/2023 1:03,3,1,0,NULL,NULL,1
77,1410,Polling Location Issues,I voted at a church at Cactus and Scottsdale Road (just west of Scotts on Cactus). I had my own pen I was going to use for my ballot- which I had out. I was told I could only use their sharpie. I questioned the ballot saying only certain pens/pencils can be used filling out a ballot. They assured me only sharpie. When I finished and went to the machine to put my ballot in I showed the gentleman the bleed marks on both sides and asked if this would be counted. He assured me as long as the bleed marks weren’t in the bubbles on either side it would be fine. Post election sharpie gate came out. I called into Governor Duceys office and was on hold for 48 mins. The gentleman that took my call assured me if my ballot was filled out with a sharpie it would be hand transcribed by someone.  I told him that was illegal- no one can fill my ballot out for me but me. I also asked where I could see what my ballot was counted as. He informed me there’s no way to see. I’ve turned this story over to an attorney in Cave Creek as well.,.png,/pdf/.png,1,NULL,NULL,7/4/2022 16:40,8/30/2023 1:19,3,1,0,NULL,NULL,1
80,1453,Mail in Ballot Issues,"I was a Poll Inspector on the City of Novi Absentee Ballot Counting Board for the 2020 General Election.  The scanners stop working early into the night.  We waited for the 8 pm mail delivery ballots to arrive.  We processed them for the tabulators.  The late arriving ballots were very few and quickly processed.  We signed the paperwork and waited around for a while.  We were released at 10 pm, since our part was done.  However, hundreds of ballots were still not tabulated at that time, with the tabulators still not functioning.  One of the Democrats at my table had a wife working the overseas copying table in the tabulation room, which the Poll Inspectors were not allowed into, except during break time to pick up our meal.  His daughter was one of the tabulation workers, who complained that she is an IT person and could get the tabulators working, but wasn't authorized to have access to the system.  This never occurred during the 2018 Primary or General Election, nor during the 2020 Primary.  And not at the Northville School District Special Election 2021.  The tabulators shutting down was an anomaly and hundreds, if not thousands, of ballots weren't tabulated until AFTER election day, in the wee hours of the morning.  The Democrat couple gave their daughter a ride to the ABCB at City Hall, so they stayed the night and morning, to give their daughter a ride back home.  Someone should look into 1). Why the machines stopped working; 2). Why it took so long to get the machines back up and working again; and 3). How many ballots were processed, after 10 pm Election day.",Tue Jul 05 13_17_55 EDT 2022.jpg,/pdf/Tue Jul 05 13_17_55 EDT 2022.jpg,1,NULL,NULL,7/5/2022 17:18,8/30/2023 1:19,3,1,0,NULL,NULL,1
90,1186,Mail in Ballot Issues,they are pushing mail in fraud ballots. First I recieved a prssure action required.   Then I recieved an anti-republican propaganda.,Fri Jul 08 17_24_35 MST 2022.jpg,/pdf/Fri Jul 08 17_24_35 MST 2022.jpg,1,NULL,NULL,7/9/2022 0:24,8/30/2023 1:18,2,1,0,NULL,NULL,1
91,1186,Mail in Ballot Issues,preregister,Fri Jul 08 17_24_56 MST 2022.jpg,/pdf/Fri Jul 08 17_24_56 MST 2022.jpg,1,NULL,NULL,7/9/2022 0:25,8/30/2023 1:17,2,1,0,NULL,NULL,1
92,1298,Mail in Ballot Issues,"I requested to be taken off the mail in ballot list but still received a ballot. Here is the response you get if you email them about it.   I got mine. I wrote them and got this email:     Thank you for your email.   Your name is no longer on the Early Voting list, however depending on when you made your request to be removed, ballots may have already been ordered for this election.  You should not receive a ballot for future elections.   You may vote in person early or on election day without a problem as long as you have not returned your mailed ballot to us.   When you go to vote at one of the Vote Anywhere Vote Centers you will do the following:    Check in on SiteBook  Verify your identification  The SiteBook will say on the screen you have been sent a ballot do you wish to void – respond in the affirmative.  This will void your vote early mail ballot and you will not be able to use this ballot.    You will then be able to vote at the Vote Center.   Donna Kish Executive Assistant Office of the Maricopa County Recorder 111 S. 3rd Avenue, Suite 103 Phoenix, AZ  85003 Office: 602-506-7960 (calls transfer automatically to work cell) dkish@risc.maricopa.gov     This message and any messages in response to the sender of this message may be subject to a public records request.  ",55499601BA0C44999E1BC1BFEF696FA0.png,/pdf/55499601BA0C44999E1BC1BFEF696FA0.png,1,NULL,NULL,7/10/2022 3:20,8/30/2023 1:17,3,1,0,NULL,NULL,1
93,1334,Monitoring Vote Counts,Invite to observe. July 18 130-330pm. Must register.,B74CB1E571A740999B149A3FC67406D8.png,/pdf/B74CB1E571A740999B149A3FC67406D8.png,1,NULL,NULL,7/11/2022 13:04,7/11/2022 13:04,NULL,0,0,NULL,NULL,1
94,1502,Mail in Ballot Issues,Help,2724D2AF24FB414CA6E492E51287F6D4.png,/pdf/2724D2AF24FB414CA6E492E51287F6D4.png,1,NULL,NULL,7/11/2022 20:56,7/11/2022 20:56,NULL,0,0,NULL,NULL,1
95,1214,Misc. Red Flags,"Ballot drop boxes appear in Lincoln Park, Michigan",Mon Jul 11 20_45_02 EDT 2022.jpg,/pdf/Mon Jul 11 20_45_02 EDT 2022.jpg,1,NULL,NULL,7/12/2022 0:45,1/16/2024 18:47,2,1,0,NULL,NULL,1
96,1556,Misc.Red Flags,Received Jury Summons at my address for the previous home owner…22 years ago. Weird this has never happened before.,DCD82EE539524DC18F6D88138E82C965.png,/pdf/DCD82EE539524DC18F6D88138E82C965.png,1,NULL,NULL,7/12/2022 2:28,7/12/2022 2:28,NULL,0,0,NULL,NULL,1
97,1578,Mail in Ballot Issues,"Received ballot, then received letter stating ballot was returned.  Still have original ballot. Smells like fraud.",EA542C6D31A44C8C8EE31216DE2C284B.png,/pdf/EA542C6D31A44C8C8EE31216DE2C284B.png,1,NULL,NULL,7/12/2022 3:42,7/12/2022 3:42,NULL,0,0,NULL,NULL,1
98,1502,Mail in Ballot Issues,Test,7F42F66309624174B83856AB4ECFAF01.png,/pdf/7F42F66309624174B83856AB4ECFAF01.png,1,NULL,NULL,7/12/2022 8:16,7/12/2022 8:16,NULL,0,0,NULL,NULL,1
99,1611,Help/Support,Hello when I open the app I get a blank map.  Thanks Terry,Tue Jul 12 06_59_21 MST 2022.jpg,/pdf/Tue Jul 12 06_59_21 MST 2022.jpg,1,NULL,NULL,7/12/2022 13:59,7/12/2022 13:59,NULL,0,0,NULL,NULL,1
100,1634,Mail in Ballot Issues,"Clark County sent me a mail ballot. Even after I went to the CC voter website a few months ago and submitted the form DO NOT SEND MAIL IN BALLOT via USPS, I vote in person always  See attached Photo!",Tue Jul 12 12_52_38 PDT 2022.jpg,/pdf/Tue Jul 12 12_52_38 PDT 2022.jpg,1,NULL,NULL,7/12/2022 19:53,8/30/2023 1:20,3,1,0,NULL,NULL,1
101,1668,Mail in Ballot Issues,"discrepancy voter roles 2/3/22 pdf  Larry Hassinger doesn't live at this address anymore 1317 n woodland Dr. he moved to Oregon July 2020. I know that is a fact because my husband and I bought this house from him at that date. thank you, Laura Urrea home owner.",Wed Jul 13 14_43_17 MST 2022.jpg,/pdf/Wed Jul 13 14_43_17 MST 2022.jpg,1,NULL,NULL,7/13/2022 21:43,8/30/2023 1:19,3,1,0,NULL,NULL,1
102,1661,Mail in Ballot Issues,Duplicate ballots in Gilbert AZ,4090E08154424C83ACE860145F999860.png,/pdf/4090E08154424C83ACE860145F999860.png,1,NULL,NULL,7/14/2022 16:08,8/30/2023 1:19,4,1,0,NULL,NULL,1
103,1168,Mail in Ballot Issues,duplicate ballots,Thu Jul 14 10_14_38 MST 2022.jpg,/pdf/Thu Jul 14 10_14_38 MST 2022.jpg,1,NULL,NULL,7/14/2022 17:14,7/14/2022 17:14,NULL,0,0,NULL,NULL,1
104,1680,Polling Location Issues,"Something weird happened and maybe I’m being paranoid, I walked in to vote at the Queen creek location at Communiversity. And when I first checked in their new computer to get my ballot printed the first ballot printed up faulty and they said it only printed one page so they spoiled that one and printed a new ballot for me. Then the lady kept saying that the techie guys are here to fix the issue since I kept questioning why that happened. I asked if the computer systems are new and she said no. I told her I’ve never checked in this way. I just scanned my id and showed her my voting card. Then when my second ballot printed the “techie” guy proceeded to fold the ballot incorrectly and the lady told him not to fold it that way and took it out of his hands. He was joking and careless about the ballots and she told him that’s not the way they trained us to fold ballots. I looked at both the 2 techie guys that were there in front of the printers but their name tags where turned inside out so I couldn’t identify where they were from.So when she spoiled the first incorrectly printed ballot I noticed 2 pages. I didn’t record or take photos in there. It was tight and cramped and was not comfortable",24E3132BCB2F43D087A3133CF127FE32.png,/pdf/24E3132BCB2F43D087A3133CF127FE32.png,1,NULL,NULL,7/14/2022 18:24,7/14/2022 18:24,NULL,0,0,NULL,NULL,1
105,1690,Misc.Red Flags,My husband registered for this office but his name did not appear on the ballot. Then he got this letter.,089841100D094A1191F4BB723524E5E8.png,/pdf/089841100D094A1191F4BB723524E5E8.png,1,NULL,NULL,7/15/2022 13:08,7/15/2022 13:08,NULL,0,0,NULL,NULL,1
106,1704,Polling Location Issues,"2 dates for poll watching cancelled due to ""glitch"" caused by In It live scheduling application dates were July 11th 2022 @ el mirage city hall from 1:00pm-5:30pm and July 27th @ surprise city hall from 12:30pm-5:00pm",Fri Jul 15 16_00_58 MST 2022.jpg,/pdf/Fri Jul 15 16_00_58 MST 2022.jpg,1,NULL,NULL,7/15/2022 23:01,7/15/2022 23:01,NULL,0,0,NULL,NULL,1
107,1552,Mail in Ballot Issues,Just want to know if this is legit?   I said I didn’t want a mail in ballot this round.,15D12E27413749E08D8C37245E98EAE2.png,/pdf/15D12E27413749E08D8C37245E98EAE2.png,1,NULL,NULL,7/16/2022 16:56,7/16/2022 16:56,NULL,0,0,NULL,NULL,1
108,1578,Mail in Ballot Issues,Mail in ballot showing party.,E9CAFFB9E8EE4449BF5D848F28480BB4.png,/pdf/E9CAFFB9E8EE4449BF5D848F28480BB4.png,1,NULL,NULL,7/16/2022 21:50,7/16/2022 21:50,NULL,0,0,NULL,NULL,1
109,1726,Help/Support,"All this app does is display this, and an empty map. what's up with that?",Sat Jul 16 18_34_35 EDT 2022.jpg,/pdf/Sat Jul 16 18_34_35 EDT 2022.jpg,1,NULL,NULL,7/16/2022 22:34,7/16/2022 22:34,NULL,0,0,NULL,NULL,1
110,1421,Polling Location Issues,"In the 2020 Presidential election my polling place in Newaygo county Michigan, Merrill Township, they had me/us use sharpies to fill in ballots. What can I do if this happens in August of 2022?   Thank you Alex Whitaker.. aswhit12537@ gmail.com",Sun Jul 17 06_07_14 EDT 2022.jpg,/pdf/Sun Jul 17 06_07_14 EDT 2022.jpg,1,NULL,NULL,7/17/2022 10:07,1/16/2024 18:46,2,1,0,NULL,NULL,1
111,1242,Mail in Ballot Issues,Someone voted from my address by mail that is not in my family and lives in another state.  Please contact me so I know this is cleared and cannot happen again in the future.,.png,/pdf/.png,1,NULL,NULL,7/18/2022 0:16,7/18/2022 0:16,NULL,0,0,NULL,NULL,1
112,742,Mail in Ballot Issues,"small cellophane window on outer envelope on mailin bsllots -  What is the purpode of this window?  it reveals that this is a repubican ballot, and which precinct.  This makes a ballot more easily targetable for harvesting or stealing.   It publicly labels me as a republican.and firthrr targets my vote.",Sun Jul 17 20_09_21 MST 2022.jpg,/pdf/Sun Jul 17 20_09_21 MST 2022.jpg,1,NULL,NULL,7/18/2022 3:03,7/18/2022 3:03,NULL,0,0,NULL,NULL,1
113,669,Misc. Red Flags,illegal PAC attacking Queen Creek School board candidate James Knox,Mon Jul 18 06_04_47 MST 2022.jpg,/pdf/Mon Jul 18 06_04_47 MST 2022.jpg,1,NULL,NULL,7/18/2022 13:06,7/18/2022 13:06,NULL,0,0,NULL,NULL,1
114,1742,Polling Location Issues,We took our mail in ballots and tore them up at the Adams County office.  My daughter and I asked for a paper ballot. We filled them out and I went outside. My daughter came out stating that she noticed that both our paper ballots had the same number on it. They explained that the printer was accidentally set to print 2 at a time and reassured us that they didn't need to destroy the second one because it was our district number not the ballot ID.  We did verify that our in person ballots were counted.,Mon Jul 18 07_58_19 MDT 2022.jpg,/pdf/Mon Jul 18 07_58_19 MDT 2022.jpg,1,NULL,NULL,7/18/2022 13:58,7/18/2022 13:58,NULL,0,0,NULL,NULL,1
115,1530,Misc. Red Flags,my name is Ruth Rondon. I got two voter cards in the mail and one of them was not mine. I live in Kent County Michigan city of Wyoming Michigan,1658165250003.jpg,/pdf/1658165250003.jpg,1,NULL,NULL,7/18/2022 17:28,1/16/2024 18:44,4,1,0,NULL,NULL,1
116,1530,Misc. Red Flags,my name is Ruth rondon. I received two voter cards in the mail. one of them was mine and the other one is not.,1658165382147.jpg,/pdf/1658165382147.jpg,1,NULL,NULL,7/18/2022 17:30,7/18/2022 17:30,NULL,0,0,NULL,NULL,1
117,1782,Mail in Ballot Issues,"My son is in the military and I checked the box that he  does not live here anymore. So last week I dropped it back in the mailbox so it could go back to county, but guess what it came back to the house. This time it is staying here and I told my son to make sure no one voted in his place.",Mon Jul 18 21_23_14 MST 2022.jpg,/pdf/Mon Jul 18 21_23_14 MST 2022.jpg,1,NULL,NULL,7/19/2022 4:23,7/19/2022 4:23,NULL,0,0,NULL,NULL,1
118,1837,Polling Location Issues,"At Winters Mill HS in Carroll County MD, nobody at any of the check-in stations asked to see any Identification.",Tue Jul 19 10_16_25 EDT 2022.jpg,/pdf/Tue Jul 19 10_16_25 EDT 2022.jpg,1,NULL,NULL,7/19/2022 14:16,7/19/2022 14:16,NULL,0,0,NULL,NULL,1
119,1844,Mail in Ballot Issues,"I changed my registration from independent to republican before the deadline required in Oregon to receive direct ballot on the primaries in May.   However, I did receive an independent ballot and then after a week a Republican ballot.     I was informed I could use either but the last one sent in,  would be the one counted.   Seemed unusual to me,  and I heard others had had this happen to them as well.   I unfortunately didn't take photos of them.   sorry",Tue Jul 19 07_58_19 PDT 2022.jpg,/pdf/Tue Jul 19 07_58_19 PDT 2022.jpg,1,NULL,NULL,7/19/2022 15:01,8/30/2023 1:50,2,1,0,NULL,NULL,1
120,1840,Help/Support,can you guys organize a plan to massively and uniformly cover all election infrastructure with cameras?,Tue Jul 19 08_32_13 MST 2022.jpg,/pdf/Tue Jul 19 08_32_13 MST 2022.jpg,1,NULL,NULL,7/19/2022 15:32,8/30/2023 1:50,2,1,0,NULL,NULL,1
123,1900,Misc. Red Flags,I received two ballots.  I completed #138820564095401 and put it in the mail.  I am keeping #138820798710002 until I hear further from you.,Tue Jul 19 21_05_39 MST 2022.jpg,/pdf/Tue Jul 19 21_05_39 MST 2022.jpg,1,NULL,NULL,7/20/2022 4:06,8/30/2023 1:49,3,1,0,NULL,NULL,1
125,1969,Misc. Red Flags,Deceased person listed in Voter rolls.,Fri Jul 22 08_44_58 EDT 2022.jpg,/pdf/Fri Jul 22 08_44_58 EDT 2022.jpg,1,NULL,NULL,7/22/2022 12:45,8/30/2023 1:49,3,1,0,NULL,NULL,1
126,1973,Monitoring Vote Counts,I’m not sure we have drop boxes in Missouri. I’ll monitor whatever you wish.,A3511C3C78FC4FBE97195AA2DBAC1D38.png,/pdf/A3511C3C78FC4FBE97195AA2DBAC1D38.png,1,NULL,NULL,7/22/2022 18:38,8/30/2023 1:49,2,1,0,NULL,NULL,1
127,758,Polling Location Issues,"My wife worked as a poll observer at Day Spring United Methodist Church in Tempe. According to the training we watched the voting center did not adhere to the close procedures. The “Trouble Shooter” said they had a ballot pickup earlier in the day.  They did not print the closing tally sheet from the tabulator, did not transfer ballots from ballot box to black bag, did not include the open/close reports nor ballot transfer/custody sheets. They left ballots in ballot box and locked up the voting center. They told my wife only one person has the key so everything would be safe. Key holder could return and tabulate additional ballots and open and close tally’s would match. Building could burn and votes could be lost.",5A6DF622A66E4E18ACC771D892DE5864.png,/pdf/5A6DF622A66E4E18ACC771D892DE5864.png,1,NULL,NULL,7/23/2022 5:21,8/30/2023 1:48,4,1,0,NULL,NULL,1
128,2026,Polling Location Issues,"My brother, James Kevin Allison, a resident of Round Rock, TX (Williamson County), died in a tragic motorcycle accident near mile marker 204 on Hwy 84 in New Mexico on 2 September 2012 but somehow submitted an in person ballot in the same county on 28 OCT 2020.",DE21CE5681684EBC8938748FA0B124B1.png,/pdf/DE21CE5681684EBC8938748FA0B124B1.png,1,NULL,NULL,7/24/2022 0:08,8/30/2023 1:48,4,1,0,NULL,NULL,1
129,2035,Polling Location Issues,"After I walked into the voting booth, viewed the candidate’s names and cast my votes, after I pulled the submit button, I noticed all my votes were changed from red to blue. I immediately called over one of the poll workers to see it. Nothing was done to rectify it. The next voter walked in after me.",A463E351DF264F42A40B959AA26646BB.png,/pdf/A463E351DF264F42A40B959AA26646BB.png,1,NULL,NULL,7/24/2022 6:20,8/30/2023 1:48,3,1,0,NULL,NULL,1
131,250,Help/Support,GPS map does not show up,Sun Jul 24 09_24_13 EDT 2022.jpg,/pdf/Sun Jul 24 09_24_13 EDT 2022.jpg,1,NULL,NULL,7/24/2022 13:24,8/30/2023 1:47,2,1,0,NULL,NULL,1
132,826,Mail in Ballot Issues,Receiving mail from NH to register to get a mail-in ballot to vote. One of the recipients no longer lives in the state and should not be on an AZ voter roll,Sun Jul 24 10_45_31 MST 2022.jpg,/pdf/Sun Jul 24 10_45_31 MST 2022.jpg,1,NULL,NULL,7/24/2022 17:48,8/30/2023 1:47,3,1,0,NULL,NULL,1
135,2051,Mail in Ballot Issues,My husband and I voted in person and then received three ballots in the mail afterwards. This is the third of the ballots I have already sent you the first and second,EE7AA7749CC848D282CA701ABAA2A26B.png,/pdf/EE7AA7749CC848D282CA701ABAA2A26B.png,1,NULL,NULL,7/24/2022 20:17,8/30/2023 1:52,4,1,0,NULL,NULL,1
136,1031,Mail in Ballot Issues,"Uninterrupted 28min video and some short clips and photos of Wagoner County Oklahoma mail-in absentee ballot opening process on 2022 Primary election day, June 28.  Plus some photos of the printed and publicly posted tape from early absentee mail-in openings on June 25.    https://photos.app.goo.gl/x7XUi8gqKSkYWmQY6   https://photos.app.goo.gl/tHSRNMkqWJrxZKyVA",Mon Jul 25 09_52_39 CDT 2022.jpg,/pdf/Mon Jul 25 09_52_39 CDT 2022.jpg,1,NULL,NULL,7/25/2022 14:52,8/30/2023 1:55,2,1,0,NULL,NULL,1
